MS,SMS,RMS,CMS,COS,SC
jacksoncore_11_fixed,1,1,1,0.2,1,1
jacksoncore_4_fixed,1,1,1,1,1,1
jacksoncore_19_fixed,1,1,1,0.5,1,1
jacksoncore_8_fixed,1,1,1,1,1,1
jacksoncore_20_fixed,1,1,1,1,1,1
jacksoncore_18_fixed,1,1,1,1,1,1
jacksoncore_7_fixed,1,1,1,1,0.058823529411764705,0.024390243902439025
jacksoncore_5_fixed,0.3333333333333333,0,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
jacksoncore_9_fixed,1,1,1,0.041666666666666664,1,1
jacksoncore_1_fixed,0.5,0.5,0.0196078431372549,0.5,0.0196078431372549,1
jacksoncore_10_fixed,1,1,1,1,1,1
jacksoncore_22_fixed,1,1,1,1,1,1
jacksoncore_6_fixed,1,1,1,1,1,1
jacksoncore_14_fixed,1,1,1,0.0038461538461538464,1,1
jacksoncore_24_fixed,1,1,1,1,1,1
jacksoncore_3_fixed,1,1,0.5,0.5,1,0.3333333333333333
jacksoncore_16_fixed,1,1,0.5,0.5,1,1
jacksoncore_2_fixed,1,1,1,1,1,1
jacksoncore_17_fixed,1,1,1,1,1,1
jacksoncore_15_fixed,1,1,1,0.07692307692307693,1,0.25
jacksoncore_26_fixed,1,1,1,1,1,0.02631578947368421
jacksoncore_21_fixed,1,1,1,1,1,1
jacksoncore_13_fixed,1,1,1,0,1,1
jacksoncore_25_fixed,1,1,1,1,1,1
jacksoncore_12_fixed,1,1,1,0.16666666666666666,1,1
jxpath_18_fixed,1,1,1,0.05,1,1
jxpath_20_fixed,1,1,0.125,1,1,1
jxpath_9_fixed,1,1,0.5,0.038461538461538464,1,1
jxpath_1_fixed,1,1,0.08333333333333333,1,1,0.09090909090909091
jxpath_8_fixed,1,1,1,0.5,1,1
jxpath_17_fixed,1,1,1,1,1,1
jxpath_15_fixed,1,1,1,0.2,0.5,0.2
jxpath_3_fixed,1,1,0,0,0,1
jxpath_12_fixed,1,1,1,1,1,0.25
jxpath_21_fixed,1,1,1,1,1,0.125
jxpath_6_fixed,0.3333333333333333,0.029411764705882353,0,0.3333333333333333,0.02127659574468085,0.5
jxpath_7_fixed,1,1,1,0.14285714285714285,1,1
jxpath_22_fixed,0.2,0,0.1111111111111111,0.027777777777777776,0.1111111111111111,0.5
jxpath_13_fixed,0.5,0,0.25,0.14285714285714285,0.3333333333333333,0.5
jxpath_5_fixed,0,0,0,0,0,1
jxpath_11_fixed,1,1,1,1,0.045454545454545456,0.3333333333333333
jxpath_14_fixed,1,1,1,1,1,1
jxpath_2_fixed,0.04,0.04,0,0.04,0,1
jxpath_16_fixed,1,1,1,0.5,1,0.5
jxpath_4_fixed,1,1,1,0.75,1,0.5
jxpath_19_fixed,1,1,1,0.1111111111111111,0.3333333333333333,0.3333333333333333
jxpath_10_fixed,0.2,0.2,0.2,0.2,0.2,0.2
time_9_fixed_cp,1,1,1,1,1,1
time_3_fixed,1,1,1,1,1,0.38461538461538464
time_3_fixed_cp,1,1,1,1,1,0.38461538461538464
time_17_fixed,1,1,1,0.5,1,0.5
time_6_fixed,1,1,1,1,1,1
time_11_fixed,0,0,0,0,0,1
